player_id,player_name,team_name,team_id,position
250042705,Luke Shaw,England,39,2
250064634,Enis Bardi,North Macedonia,59205,3
98910,Borek Dockal,Czech Republic,58837,3
250091841,Eljif Elmas,North Macedonia,59205,3
250079601,Kamil Jozwiak,Poland,109,3
73865,Adam Szalai,Hungary,57,4
1906776,Thiago Alcantara,Spain,122,3
62487,Sebastian Larsson,Sweden,127,3
250097498,Michal Sacek,Czech Republic,58837,3
250006513,Martin Dolezal,Czech Republic,58837,4
250062599,Enes Ünal,Turkey,135,4
250081964,Jakub Jankto,Czech Republic,58837,3
250126537,Kevin Lasagna,Italy,66,4
250027767,Zdenek Ondrasek,Czech Republic,58837,4
250022366,David Pavelka,Czech Republic,58837,3
250064531,Adnan Januzaj,Belgium,13,3
250111288,Paulinho,Portugal,110,4
250099917,Tomas Malinsky,Czech Republic,58837,3
250024448,Dani Carvajal,Spain,122,2
250027046,Aymeric Laporte,Spain,122,2
250081937,Oli McBurnie,Scotland,117,4
250022309,Tom Lawrence,Wales,144,3
250034779,Jan Kopic,Czech Republic,58837,3
250105714,Dejan Ljubicic,Austria,8,3
250087653,Konstantin Kuchaev,Russia,57451,3
250105737,Jesper Karlsson,Sweden,127,3
250109375,Michał Karbownik,Poland,109,3
103356,Jakob Jantscher,Austria,8,3
250087872,Sebastian Szymanski,Poland,109,3
150015261,Stefan Schwab,Austria,8,3
1906553,Stefan Hierlander,Austria,8,3
250067749,Jorginho,Italy,66,3
250121401,Matteo Pessina,Italy,66,3
250058759,Domenico Berardi,Italy,66,3
1906308,Jan Gregus,Slovakia,58836,3
250118062,Mikkel Damsgaard,Denmark,35,3
250143693,Pedri,Spain,122,3
1909569,Roberto Soriano,Italy,66,3
250061064,Reinhold Ranftl,Austria,8,3
250073009,Ivan Petriak,Ukraine,57166,4
250055748,Albian Ajeti,Switzerland,128,4
250013649,Peter Zulj,Austria,8,3
250001662,Aleksandr Erokhin,Russia,57451,3
250066438,Isaac Kiese Thelin,Sweden,127,4
250067387,Deniz Turuc,Turkey,135,3
1906115,Sam Vokes,Wales,144,4
250108595,Yari Verschaeren,Belgium,13,3
250013339,Raphael Holzhauser,Austria,8,3
250081921,Benjamin Pavard,France,43,2
250079203,Tyler Roberts,Wales,144,4
250117652,Tomas Suslov,Slovakia,58836,3
250118442,Aleksandr Sobolev,Russia,57451,4
250036166,Junior Moraes,Ukraine,57166,4
250008250,Serhiy Sydorchuk,Ukraine,57166,3
250003853,Sergio Oliveira,Portugal,110,3
250083605,Karol Swiderski,Poland,109,4
250099650,Stefano Sensi,Italy,66,3
59142,Giorgio Chiellini,Italy,66,2
250115436,Fabian Ruiz,Spain,122,3
250058218,Renato Sanches,Portugal,110,3
250024153,Joel Pohjanpalo,Finland,42,4
250085160,Jacek Goralski,Poland,109,3
250024755,Helder Costa,Portugal,110,3
250063394,Bruno Petkovic,Croatia,56370,4
250107490,Przemysław Płacheta,Poland,109,3
250060817,Renato Steffen,Switzerland,128,3
250041781,Niklas Sule,Germany,47,2
250098468,Luka Ivanusec,Croatia,56370,3
250155863,Janos Hahn,Hungary,57,4
250105617,Giacomo Raspadori,Italy,66,4
250101728,Jurrien Timber,Netherlands,95,3
250050494,Jakub Swierczok,Poland,109,4
250146595,Denis Makarov,Russia,57451,4
250118078,Halil Dervisoglu,Turkey,135,3
250141857,David Turnbull,Scotland,117,3
250097254,Yusuf Yazici,Turkey,135,3
250052963,Mario Fernandes,Russia,57451,2
250043060,Robin Lod,Finland,42,3
250043607,Oleksandr Andriievskyi,Ukraine,57166,3
250091870,Bogdan Lednev,Ukraine,57166,3
102351,Albin Ekdal,Sweden,127,3
250026043,David Siger,Hungary,57,3
250006516,Anders Christiansen,Denmark,35,3
250087711,Mykola Shaparenko,Ukraine,57166,3
250143313,Tamas Cseri,Hungary,57,3
250026986,Pierre-Emile Højbjerg,Denmark,35,3
250022169,Feran Hasani,North Macedonia,59205,3
